lemma,enlemma,verbnoun,lang,zipf,tier,freq_rank,cell_id,construction,tense,person,probed_person,probed_number,particle,requires_soft_mutation,aux_lemma,aux_gold,aux_gold_alts,gold,gold_alts,match_forms,seed,experiment
rhannu,share,rhannu,cy,5.568,high,50,synthetic_imperfect_2s,synthetic,imperfect,2s,2nd,singular,,False,,,,rhannet,rhannit,rhannet|rhannit,43,welsh_transfer_ood
rhannu,share,rhannu,cy,5.568,high,50,synthetic_imperfect_3s,synthetic,imperfect,3s,3rd,singular,,False,,,,rhannai,,rhannai,43,welsh_transfer_ood
rhannu,share,rhannu,cy,5.568,high,50,synthetic_imperfect_1p,synthetic,imperfect,1p,1st,plural,,False,,,,rhannem,,rhannem,43,welsh_transfer_ood
rhannu,share,rhannu,cy,5.568,high,50,synthetic_imperfect_2p,synthetic,imperfect,2p,2nd,plural,,False,,,,rhannech,,rhannech,43,welsh_transfer_ood
rhannu,share,rhannu,cy,5.568,high,50,synthetic_imperfect_3p,synthetic,imperfect,3p,3rd,plural,,False,,,,rhannent,,rhannent,43,welsh_transfer_ood
rhannu,share,rhannu,cy,5.568,high,50,periphrastic_present_1s,periphrastic,present,1s,1st,singular,yn,False,bod,rwyf,wyf|ydwyf|dw|ydw|rwy,rhannu,,rwyf|wyf|ydwyf|dw|ydw|rwy|rhannu,43,welsh_transfer_ood
rhannu,share,rhannu,cy,5.568,high,50,periphrastic_present_2s,periphrastic,present,2s,2nd,singular,yn,False,bod,rwyt,wyt|ydwyt,rhannu,,rwyt|wyt|ydwyt|rhannu,43,welsh_transfer_ood
rhannu,share,rhannu,cy,5.568,high,50,periphrastic_present_3s,periphrastic,present,3s,3rd,singular,yn,False,bod,mae,ydyw|yw|ydy|yn_dydy|ydi,rhannu,,mae|ydyw|yw|ydy|yn_dydy|ydi|rhannu,43,welsh_transfer_ood
rhannu,share,rhannu,cy,5.568,high,50,periphrastic_present_1p,periphrastic,present,1p,1st,plural,yn,False,bod,rydym,ydym|ŷm|dan|ydan|yn_dydan,rhannu,,rydym|ydym|ŷm|dan|ydan|yn_dydan|rhannu,43,welsh_transfer_ood
rhannu,share,rhannu,cy,5.568,high,50,periphrastic_present_2p,periphrastic,present,2p,2nd,plural,yn,False,bod,rydych,ych|ydych|dach|dych|ydach|yn_dydach,rhannu,,rydych|ych|ydych|dach|dych|ydach|yn_dydach|rhannu,43,welsh_transfer_ood
rhannu,share,rhannu,cy,5.568,high,50,periphrastic_present_3p,periphrastic,present,3p,3rd,plural,yn,False,bod,maen,maent|rydyn|rydynt|ydynt|ŷnt|ydyn|yn_dydyn|dyn,rhannu,,maen|maent|rydyn|rydynt|ydynt|ŷnt|ydyn|yn_dydyn|dyn|rhannu,43,welsh_transfer_ood
rhannu,share,rhannu,cy,5.568,high,50,periphrastic_past_1s,periphrastic,past,1s,1st,singular,,True,gwneud,gwnes,gwneuthum|gwnaes|gwnesaf,rannu,rhannu,gwnes|gwneuthum|gwnaes|gwnesaf|rannu|rhannu,43,welsh_transfer_ood
rhannu,share,rhannu,cy,5.568,high,50,periphrastic_past_2s,periphrastic,past,2s,2nd,singular,,True,gwneud,gwnêst,gwnaethost|gwnest,rannu,rhannu,gwnêst|gwnaethost|gwnest|rannu|rhannu,43,welsh_transfer_ood
rhannu,share,rhannu,cy,5.568,high,50,periphrastic_past_3s,periphrastic,past,3s,3rd,singular,,True,gwneud,nath,gwnaeth,rannu,rhannu,nath|gwnaeth|rannu|rhannu,43,welsh_transfer_ood
rhannu,share,rhannu,cy,5.568,high,50,periphrastic_past_1p,periphrastic,past,1p,1st,plural,,True,gwneud,gwnaethom,,rannu,rhannu,gwnaethom|rannu|rhannu,43,welsh_transfer_ood
rhannu,share,rhannu,cy,5.568,high,50,periphrastic_past_2p,periphrastic,past,2p,2nd,plural,,True,gwneud,gwnaethoch,gwnaesoch,rannu,rhannu,gwnaethoch|gwnaesoch|rannu|rhannu,43,welsh_transfer_ood
rhannu,share,rhannu,cy,5.568,high,50,periphrastic_past_3p,periphrastic,past,3p,3rd,plural,,True,gwneud,gwnaethon,gwnaethant|naethon,rannu,rhannu,gwnaethon|gwnaethant|naethon|rannu|rhannu,43,welsh_transfer_ood
rhannu,share,rhannu,cy,5.568,high,50,periphrastic_imperfect_1s,periphrastic,imperfect,1s,1st,singular,yn,False,bod,roeddwn,oeddwn|o'n|oeddaf|yn_doeddwn,rhannu,,roeddwn|oeddwn|o'n|oeddaf|yn_doeddwn|rhannu,43,welsh_transfer_ood
rhannu,share,rhannu,cy,5.568,high,50,periphrastic_imperfect_2s,periphrastic,imperfect,2s,2nd,singular,yn,False,bod,oeddet,oeddit|roeddet|oedda|oedde,rhannu,,oeddet|oeddit|roeddet|oedda|oedde|rhannu,43,welsh_transfer_ood
rhannu,share,rhannu,cy,5.568,high,50,periphrastic_imperfect_3s,periphrastic,imperfect,3s,3rd,singular,yn,False,bod,roedd,oedd|ydoedd|yn_doedd,rhannu,,roedd|oedd|ydoedd|yn_doedd|rhannu,43,welsh_transfer_ood
rhannu,share,rhannu,cy,5.568,high,50,periphrastic_imperfect_1p,periphrastic,imperfect,1p,1st,plural,yn,False,bod,roeddem,oeddem|oeddan,rhannu,,roeddem|oeddem|oeddan|rhannu,43,welsh_transfer_ood
rhannu,share,rhannu,cy,5.568,high,50,periphrastic_imperfect_2p,periphrastic,imperfect,2p,2nd,plural,yn,False,bod,roeddech,oeddech|yn_doeddech,rhannu,,roeddech|oeddech|yn_doeddech|rhannu,43,welsh_transfer_ood
rhannu,share,rhannu,cy,5.568,high,50,periphrastic_imperfect_3p,periphrastic,imperfect,3p,3rd,plural,yn,False,bod,roedden,oeddent|oeddynt|yn_doedden,rhannu,,roedden|oeddent|oeddynt|yn_doedden|rhannu,43,welsh_transfer_ood
rhannu,share,rhannu,cy,5.568,high,50,periphrastic_future_1s,periphrastic,future,1s,1st,singular,yn,False,bod,byddaf,bydda,rhannu,,byddaf|bydda|rhannu,43,welsh_transfer_ood
rhannu,share,rhannu,cy,5.568,high,50,periphrastic_future_2s,periphrastic,future,2s,2nd,singular,yn,False,bod,byddi,,rhannu,,byddi|rhannu,43,welsh_transfer_ood
rhannu,share,rhannu,cy,5.568,high,50,periphrastic_future_3s,periphrastic,future,3s,3rd,singular,yn,False,bod,bydd,,rhannu,,bydd|rhannu,43,welsh_transfer_ood
rhannu,share,rhannu,cy,5.568,high,50,periphrastic_future_1p,periphrastic,future,1p,1st,plural,yn,False,bod,byddwn,,rhannu,,byddwn|rhannu,43,welsh_transfer_ood
rhannu,share,rhannu,cy,5.568,high,50,periphrastic_future_2p,periphrastic,future,2p,2nd,plural,yn,False,bod,byddwch,,rhannu,,byddwch|rhannu,43,welsh_transfer_ood
rhannu,share,rhannu,cy,5.568,high,50,periphrastic_future_3p,periphrastic,future,3p,3rd,plural,yn,False,bod,byddan,byddant,rhannu,,byddan|byddant|rhannu,43,welsh_transfer_ood
diogelu,protect,diogelu,cy,5.195,high,114,synthetic_present_1s,synthetic,present,1s,1st,singular,,False,,,,diogelaf,,diogelaf,43,welsh_transfer_ood
diogelu,protect,diogelu,cy,5.195,high,114,synthetic_present_2s,synthetic,present,2s,2nd,singular,,False,,,,diogeli,,diogeli,43,welsh_transfer_ood
diogelu,protect,diogelu,cy,5.195,high,114,synthetic_present_3s,synthetic,present,3s,3rd,singular,,False,,,,diogela,,diogela,43,welsh_transfer_ood
diogelu,protect,diogelu,cy,5.195,high,114,synthetic_present_1p,synthetic,present,1p,1st,plural,,False,,,,diogelwn,,diogelwn,43,welsh_transfer_ood
diogelu,protect,diogelu,cy,5.195,high,114,synthetic_present_2p,synthetic,present,2p,2nd,plural,,False,,,,diogelwch,,diogelwch,43,welsh_transfer_ood
diogelu,protect,diogelu,cy,5.195,high,114,synthetic_present_3p,synthetic,present,3p,3rd,plural,,False,,,,diogelan,diogelant,diogelan|diogelant,43,welsh_transfer_ood
diogelu,protect,diogelu,cy,5.195,high,114,synthetic_past_1s,synthetic,past,1s,1st,singular,,False,,,,diogelais,,diogelais,43,welsh_transfer_ood
diogelu,protect,diogelu,cy,5.195,high,114,synthetic_past_2s,synthetic,past,2s,2nd,singular,,False,,,,diogelaist,,diogelaist,43,welsh_transfer_ood
diogelu,protect,diogelu,cy,5.195,high,114,synthetic_past_3s,synthetic,past,3s,3rd,singular,,False,,,,diogelodd,,diogelodd,43,welsh_transfer_ood
diogelu,protect,diogelu,cy,5.195,high,114,synthetic_past_1p,synthetic,past,1p,1st,plural,,False,,,,diogelon,diogelasom|diogelsom,diogelon|diogelasom|diogelsom,43,welsh_transfer_ood
diogelu,protect,diogelu,cy,5.195,high,114,synthetic_past_2p,synthetic,past,2p,2nd,plural,,False,,,,diogeloch,diogelasoch|diogelsoch,diogeloch|diogelasoch|diogelsoch,43,welsh_transfer_ood
diogelu,protect,diogelu,cy,5.195,high,114,synthetic_past_3p,synthetic,past,3p,3rd,plural,,False,,,,diogelon,diogelasant|diogelson,diogelon|diogelasant|diogelson,43,welsh_transfer_ood
diogelu,protect,diogelu,cy,5.195,high,114,synthetic_imperfect_1s,synthetic,imperfect,1s,1st,singular,,False,,,,diogelwn,,diogelwn,43,welsh_transfer_ood
diogelu,protect,diogelu,cy,5.195,high,114,synthetic_imperfect_2s,synthetic,imperfect,2s,2nd,singular,,False,,,,diogelet,diogelit,diogelet|diogelit,43,welsh_transfer_ood
diogelu,protect,diogelu,cy,5.195,high,114,synthetic_imperfect_3s,synthetic,imperfect,3s,3rd,singular,,False,,,,diogelai,,diogelai,43,welsh_transfer_ood
diogelu,protect,diogelu,cy,5.195,high,114,synthetic_imperfect_1p,synthetic,imperfect,1p,1st,plural,,False,,,,diogelem,,diogelem,43,welsh_transfer_ood
diogelu,protect,diogelu,cy,5.195,high,114,synthetic_imperfect_2p,synthetic,imperfect,2p,2nd,plural,,False,,,,diogelech,,diogelech,43,welsh_transfer_ood
diogelu,protect,diogelu,cy,5.195,high,114,synthetic_imperfect_3p,synthetic,imperfect,3p,3rd,plural,,False,,,,diogelent,,diogelent,43,welsh_transfer_ood
diogelu,protect,diogelu,cy,5.195,high,114,periphrastic_present_1s,periphrastic,present,1s,1st,singular,yn,False,bod,rwyf,wyf|ydwyf|dw|ydw|rwy,diogelu,,rwyf|wyf|ydwyf|dw|ydw|rwy|diogelu,43,welsh_transfer_ood
diogelu,protect,diogelu,cy,5.195,high,114,periphrastic_present_2s,periphrastic,present,2s,2nd,singular,yn,False,bod,rwyt,wyt|ydwyt,diogelu,,rwyt|wyt|ydwyt|diogelu,43,welsh_transfer_ood
diogelu,protect,diogelu,cy,5.195,high,114,periphrastic_present_3s,periphrastic,present,3s,3rd,singular,yn,False,bod,mae,ydyw|yw|ydy|yn_dydy|ydi,diogelu,,mae|ydyw|yw|ydy|yn_dydy|ydi|diogelu,43,welsh_transfer_ood
diogelu,protect,diogelu,cy,5.195,high,114,periphrastic_present_1p,periphrastic,present,1p,1st,plural,yn,False,bod,rydym,ydym|ŷm|dan|ydan|yn_dydan,diogelu,,rydym|ydym|ŷm|dan|ydan|yn_dydan|diogelu,43,welsh_transfer_ood
diogelu,protect,diogelu,cy,5.195,high,114,periphrastic_present_2p,periphrastic,present,2p,2nd,plural,yn,False,bod,rydych,ych|ydych|dach|dych|ydach|yn_dydach,diogelu,,rydych|ych|ydych|dach|dych|ydach|yn_dydach|diogelu,43,welsh_transfer_ood
diogelu,protect,diogelu,cy,5.195,high,114,periphrastic_present_3p,periphrastic,present,3p,3rd,plural,yn,False,bod,maen,maent|rydyn|rydynt|ydynt|ŷnt|ydyn|yn_dydyn|dyn,diogelu,,maen|maent|rydyn|rydynt|ydynt|ŷnt|ydyn|yn_dydyn|dyn|diogelu,43,welsh_transfer_ood
diogelu,protect,diogelu,cy,5.195,high,114,periphrastic_past_1s,periphrastic,past,1s,1st,singular,,True,gwneud,gwnes,gwneuthum|gwnaes|gwnesaf,ddiogelu,diogelu,gwnes|gwneuthum|gwnaes|gwnesaf|ddiogelu|diogelu,43,welsh_transfer_ood
diogelu,protect,diogelu,cy,5.195,high,114,periphrastic_past_2s,periphrastic,past,2s,2nd,singular,,True,gwneud,gwnêst,gwnaethost|gwnest,ddiogelu,diogelu,gwnêst|gwnaethost|gwnest|ddiogelu|diogelu,43,welsh_transfer_ood
diogelu,protect,diogelu,cy,5.195,high,114,periphrastic_past_3s,periphrastic,past,3s,3rd,singular,,True,gwneud,nath,gwnaeth,ddiogelu,diogelu,nath|gwnaeth|ddiogelu|diogelu,43,welsh_transfer_ood
diogelu,protect,diogelu,cy,5.195,high,114,periphrastic_past_1p,periphrastic,past,1p,1st,plural,,True,gwneud,gwnaethom,,ddiogelu,diogelu,gwnaethom|ddiogelu|diogelu,43,welsh_transfer_ood
diogelu,protect,diogelu,cy,5.195,high,114,periphrastic_past_2p,periphrastic,past,2p,2nd,plural,,True,gwneud,gwnaethoch,gwnaesoch,ddiogelu,diogelu,gwnaethoch|gwnaesoch|ddiogelu|diogelu,43,welsh_transfer_ood
diogelu,protect,diogelu,cy,5.195,high,114,periphrastic_past_3p,periphrastic,past,3p,3rd,plural,,True,gwneud,gwnaethon,gwnaethant|naethon,ddiogelu,diogelu,gwnaethon|gwnaethant|naethon|ddiogelu|diogelu,43,welsh_transfer_ood
diogelu,protect,diogelu,cy,5.195,high,114,periphrastic_imperfect_1s,periphrastic,imperfect,1s,1st,singular,yn,False,bod,roeddwn,oeddwn|o'n|oeddaf|yn_doeddwn,diogelu,,roeddwn|oeddwn|o'n|oeddaf|yn_doeddwn|diogelu,43,welsh_transfer_ood
diogelu,protect,diogelu,cy,5.195,high,114,periphrastic_imperfect_2s,periphrastic,imperfect,2s,2nd,singular,yn,False,bod,oeddet,oeddit|roeddet|oedda|oedde,diogelu,,oeddet|oeddit|roeddet|oedda|oedde|diogelu,43,welsh_transfer_ood
diogelu,protect,diogelu,cy,5.195,high,114,periphrastic_imperfect_3s,periphrastic,imperfect,3s,3rd,singular,yn,False,bod,roedd,oedd|ydoedd|yn_doedd,diogelu,,roedd|oedd|ydoedd|yn_doedd|diogelu,43,welsh_transfer_ood
diogelu,protect,diogelu,cy,5.195,high,114,periphrastic_imperfect_1p,periphrastic,imperfect,1p,1st,plural,yn,False,bod,roeddem,oeddem|oeddan,diogelu,,roeddem|oeddem|oeddan|diogelu,43,welsh_transfer_ood
diogelu,protect,diogelu,cy,5.195,high,114,periphrastic_imperfect_2p,periphrastic,imperfect,2p,2nd,plural,yn,False,bod,roeddech,oeddech|yn_doeddech,diogelu,,roeddech|oeddech|yn_doeddech|diogelu,43,welsh_transfer_ood
diogelu,protect,diogelu,cy,5.195,high,114,periphrastic_imperfect_3p,periphrastic,imperfect,3p,3rd,plural,yn,False,bod,roedden,oeddent|oeddynt|yn_doedden,diogelu,,roedden|oeddent|oeddynt|yn_doedden|diogelu,43,welsh_transfer_ood
diogelu,protect,diogelu,cy,5.195,high,114,periphrastic_future_1s,periphrastic,future,1s,1st,singular,yn,False,bod,byddaf,bydda,diogelu,,byddaf|bydda|diogelu,43,welsh_transfer_ood
diogelu,protect,diogelu,cy,5.195,high,114,periphrastic_future_2s,periphrastic,future,2s,2nd,singular,yn,False,bod,byddi,,diogelu,,byddi|diogelu,43,welsh_transfer_ood
diogelu,protect,diogelu,cy,5.195,high,114,periphrastic_future_3s,periphrastic,future,3s,3rd,singular,yn,False,bod,bydd,,diogelu,,bydd|diogelu,43,welsh_transfer_ood
diogelu,protect,diogelu,cy,5.195,high,114,periphrastic_future_1p,periphrastic,future,1p,1st,plural,yn,False,bod,byddwn,,diogelu,,byddwn|diogelu,43,welsh_transfer_ood
diogelu,protect,diogelu,cy,5.195,high,114,periphrastic_future_2p,periphrastic,future,2p,2nd,plural,yn,False,bod,byddwch,,diogelu,,byddwch|diogelu,43,welsh_transfer_ood
diogelu,protect,diogelu,cy,5.195,high,114,periphrastic_future_3p,periphrastic,future,3p,3rd,plural,yn,False,bod,byddan,byddant,diogelu,,byddan|byddant|diogelu,43,welsh_transfer_ood
pleidleisio,vote,pleidleisio,cy,5.016,high,170,synthetic_present_1s,synthetic,present,1s,1st,singular,,False,,,,pleidleisiaf,,pleidleisiaf,43,welsh_transfer_ood
pleidleisio,vote,pleidleisio,cy,5.016,high,170,synthetic_present_2s,synthetic,present,2s,2nd,singular,,False,,,,pleidleisi,,pleidleisi,43,welsh_transfer_ood
pleidleisio,vote,pleidleisio,cy,5.016,high,170,synthetic_present_3s,synthetic,present,3s,3rd,singular,,False,,,,pleidleisia,,pleidleisia,43,welsh_transfer_ood
pleidleisio,vote,pleidleisio,cy,5.016,high,170,synthetic_present_1p,synthetic,present,1p,1st,plural,,False,,,,pleidleisiwn,,pleidleisiwn,43,welsh_transfer_ood
pleidleisio,vote,pleidleisio,cy,5.016,high,170,synthetic_present_2p,synthetic,present,2p,2nd,plural,,False,,,,pleidleisiwch,,pleidleisiwch,43,welsh_transfer_ood
pleidleisio,vote,pleidleisio,cy,5.016,high,170,synthetic_present_3p,synthetic,present,3p,3rd,plural,,False,,,,pleidleisian,pleidleisiant,pleidleisian|pleidleisiant,43,welsh_transfer_ood
pleidleisio,vote,pleidleisio,cy,5.016,high,170,synthetic_past_1s,synthetic,past,1s,1st,singular,,False,,,,pleidleisiais,,pleidleisiais,43,welsh_transfer_ood
pleidleisio,vote,pleidleisio,cy,5.016,high,170,synthetic_past_2s,synthetic,past,2s,2nd,singular,,False,,,,pleidleisiaist,,pleidleisiaist,43,welsh_transfer_ood
pleidleisio,vote,pleidleisio,cy,5.016,high,170,synthetic_past_3s,synthetic,past,3s,3rd,singular,,False,,,,pleidleisiodd,,pleidleisiodd,43,welsh_transfer_ood
pleidleisio,vote,pleidleisio,cy,5.016,high,170,synthetic_past_1p,synthetic,past,1p,1st,plural,,False,,,,pleidleision,pleidleisiasom,pleidleision|pleidleisiasom,43,welsh_transfer_ood
pleidleisio,vote,pleidleisio,cy,5.016,high,170,synthetic_past_2p,synthetic,past,2p,2nd,plural,,False,,,,pleidleisioch,pleidleisiasoch,pleidleisioch|pleidleisiasoch,43,welsh_transfer_ood
pleidleisio,vote,pleidleisio,cy,5.016,high,170,synthetic_past_3p,synthetic,past,3p,3rd,plural,,False,,,,pleidleision,pleidleisiasant,pleidleision|pleidleisiasant,43,welsh_transfer_ood
pleidleisio,vote,pleidleisio,cy,5.016,high,170,synthetic_imperfect_1s,synthetic,imperfect,1s,1st,singular,,False,,,,pleidleisiwn,,pleidleisiwn,43,welsh_transfer_ood
pleidleisio,vote,pleidleisio,cy,5.016,high,170,synthetic_imperfect_2s,synthetic,imperfect,2s,2nd,singular,,False,,,,pleidleisiet,pleidleisit,pleidleisiet|pleidleisit,43,welsh_transfer_ood
pleidleisio,vote,pleidleisio,cy,5.016,high,170,synthetic_imperfect_3s,synthetic,imperfect,3s,3rd,singular,,False,,,,pleidleisiai,,pleidleisiai,43,welsh_transfer_ood
pleidleisio,vote,pleidleisio,cy,5.016,high,170,synthetic_imperfect_1p,synthetic,imperfect,1p,1st,plural,,False,,,,pleidleisiem,,pleidleisiem,43,welsh_transfer_ood
pleidleisio,vote,pleidleisio,cy,5.016,high,170,synthetic_imperfect_2p,synthetic,imperfect,2p,2nd,plural,,False,,,,pleidleisiech,,pleidleisiech,43,welsh_transfer_ood
pleidleisio,vote,pleidleisio,cy,5.016,high,170,synthetic_imperfect_3p,synthetic,imperfect,3p,3rd,plural,,False,,,,pleidleisient,,pleidleisient,43,welsh_transfer_ood
pleidleisio,vote,pleidleisio,cy,5.016,high,170,periphrastic_present_1s,periphrastic,present,1s,1st,singular,yn,False,bod,rwyf,wyf|ydwyf|dw|ydw|rwy,pleidleisio,,rwyf|wyf|ydwyf|dw|ydw|rwy|pleidleisio,43,welsh_transfer_ood
pleidleisio,vote,pleidleisio,cy,5.016,high,170,periphrastic_present_2s,periphrastic,present,2s,2nd,singular,yn,False,bod,rwyt,wyt|ydwyt,pleidleisio,,rwyt|wyt|ydwyt|pleidleisio,43,welsh_transfer_ood
pleidleisio,vote,pleidleisio,cy,5.016,high,170,periphrastic_present_3s,periphrastic,present,3s,3rd,singular,yn,False,bod,mae,ydyw|yw|ydy|yn_dydy|ydi,pleidleisio,,mae|ydyw|yw|ydy|yn_dydy|ydi|pleidleisio,43,welsh_transfer_ood
pleidleisio,vote,pleidleisio,cy,5.016,high,170,periphrastic_present_1p,periphrastic,present,1p,1st,plural,yn,False,bod,rydym,ydym|ŷm|dan|ydan|yn_dydan,pleidleisio,,rydym|ydym|ŷm|dan|ydan|yn_dydan|pleidleisio,43,welsh_transfer_ood
pleidleisio,vote,pleidleisio,cy,5.016,high,170,periphrastic_present_2p,periphrastic,present,2p,2nd,plural,yn,False,bod,rydych,ych|ydych|dach|dych|ydach|yn_dydach,pleidleisio,,rydych|ych|ydych|dach|dych|ydach|yn_dydach|pleidleisio,43,welsh_transfer_ood
pleidleisio,vote,pleidleisio,cy,5.016,high,170,periphrastic_present_3p,periphrastic,present,3p,3rd,plural,yn,False,bod,maen,maent|rydyn|rydynt|ydynt|ŷnt|ydyn|yn_dydyn|dyn,pleidleisio,,maen|maent|rydyn|rydynt|ydynt|ŷnt|ydyn|yn_dydyn|dyn|pleidleisio,43,welsh_transfer_ood
pleidleisio,vote,pleidleisio,cy,5.016,high,170,periphrastic_past_1s,periphrastic,past,1s,1st,singular,,True,gwneud,gwnes,gwneuthum|gwnaes|gwnesaf,bleidleisio,pleidleisio,gwnes|gwneuthum|gwnaes|gwnesaf|bleidleisio|pleidleisio,43,welsh_transfer_ood
pleidleisio,vote,pleidleisio,cy,5.016,high,170,periphrastic_past_2s,periphrastic,past,2s,2nd,singular,,True,gwneud,gwnêst,gwnaethost|gwnest,bleidleisio,pleidleisio,gwnêst|gwnaethost|gwnest|bleidleisio|pleidleisio,43,welsh_transfer_ood
pleidleisio,vote,pleidleisio,cy,5.016,high,170,periphrastic_past_3s,periphrastic,past,3s,3rd,singular,,True,gwneud,nath,gwnaeth,bleidleisio,pleidleisio,nath|gwnaeth|bleidleisio|pleidleisio,43,welsh_transfer_ood
pleidleisio,vote,pleidleisio,cy,5.016,high,170,periphrastic_past_1p,periphrastic,past,1p,1st,plural,,True,gwneud,gwnaethom,,bleidleisio,pleidleisio,gwnaethom|bleidleisio|pleidleisio,43,welsh_transfer_ood
pleidleisio,vote,pleidleisio,cy,5.016,high,170,periphrastic_past_2p,periphrastic,past,2p,2nd,plural,,True,gwneud,gwnaethoch,gwnaesoch,bleidleisio,pleidleisio,gwnaethoch|gwnaesoch|bleidleisio|pleidleisio,43,welsh_transfer_ood
pleidleisio,vote,pleidleisio,cy,5.016,high,170,periphrastic_past_3p,periphrastic,past,3p,3rd,plural,,True,gwneud,gwnaethon,gwnaethant|naethon,bleidleisio,pleidleisio,gwnaethon|gwnaethant|naethon|bleidleisio|pleidleisio,43,welsh_transfer_ood
pleidleisio,vote,pleidleisio,cy,5.016,high,170,periphrastic_imperfect_1s,periphrastic,imperfect,1s,1st,singular,yn,False,bod,roeddwn,oeddwn|o'n|oeddaf|yn_doeddwn,pleidleisio,,roeddwn|oeddwn|o'n|oeddaf|yn_doeddwn|pleidleisio,43,welsh_transfer_ood
pleidleisio,vote,pleidleisio,cy,5.016,high,170,periphrastic_imperfect_2s,periphrastic,imperfect,2s,2nd,singular,yn,False,bod,oeddet,oeddit|roeddet|oedda|oedde,pleidleisio,,oeddet|oeddit|roeddet|oedda|oedde|pleidleisio,43,welsh_transfer_ood
pleidleisio,vote,pleidleisio,cy,5.016,high,170,periphrastic_imperfect_3s,periphrastic,imperfect,3s,3rd,singular,yn,False,bod,roedd,oedd|ydoedd|yn_doedd,pleidleisio,,roedd|oedd|ydoedd|yn_doedd|pleidleisio,43,welsh_transfer_ood
pleidleisio,vote,pleidleisio,cy,5.016,high,170,periphrastic_imperfect_1p,periphrastic,imperfect,1p,1st,plural,yn,False,bod,roeddem,oeddem|oeddan,pleidleisio,,roeddem|oeddem|oeddan|pleidleisio,43,welsh_transfer_ood
pleidleisio,vote,pleidleisio,cy,5.016,high,170,periphrastic_imperfect_2p,periphrastic,imperfect,2p,2nd,plural,yn,False,bod,roeddech,oeddech|yn_doeddech,pleidleisio,,roeddech|oeddech|yn_doeddech|pleidleisio,43,welsh_transfer_ood
pleidleisio,vote,pleidleisio,cy,5.016,high,170,periphrastic_imperfect_3p,periphrastic,imperfect,3p,3rd,plural,yn,False,bod,roedden,oeddent|oeddynt|yn_doedden,pleidleisio,,roedden|oeddent|oeddynt|yn_doedden|pleidleisio,43,welsh_transfer_ood
pleidleisio,vote,pleidleisio,cy,5.016,high,170,periphrastic_future_1s,periphrastic,future,1s,1st,singular,yn,False,bod,byddaf,bydda,pleidleisio,,byddaf|bydda|pleidleisio,43,welsh_transfer_ood
pleidleisio,vote,pleidleisio,cy,5.016,high,170,periphrastic_future_2s,periphrastic,future,2s,2nd,singular,yn,False,bod,byddi,,pleidleisio,,byddi|pleidleisio,43,welsh_transfer_ood
pleidleisio,vote,pleidleisio,cy,5.016,high,170,periphrastic_future_3s,periphrastic,future,3s,3rd,singular,yn,False,bod,bydd,,pleidleisio,,bydd|pleidleisio,43,welsh_transfer_ood
