verb,lang,cell_id,zipf,tier,irregular_probed,in_census,probed_tense,probed_person,probed_number,gold_past_1sg,gold_past_1sg_alts,gold_participle,gold_participle_alts,ending,seed,experiment
aglomerar,es,low_regular,2.671,low,no,yes,preterite,1st,singular,aglomeré,,aglomerado,,ar,42,diagnostic_2
apoquinar,es,low_regular,1.161,low,no,yes,preterite,1st,singular,apoquiné,,apoquinado,,ar,42,diagnostic_2
ausentar,es,low_regular,2.825,low,no,yes,preterite,1st,singular,ausenté,,ausentado,,ar,42,diagnostic_2
carcomer,es,low_regular,2.770,low,no,yes,preterite,1st,singular,carcomí,,carcomido,,er,42,diagnostic_2
derruir,es,low_regular,2.362,low,no,yes,preterite,1st,singular,derruí,,derruido,,ir,42,diagnostic_2
descreer,es,low_regular,2.326,low,no,yes,preterite,1st,singular,descreí,,descreído,,er,42,diagnostic_2
desenfundar,es,low_regular,2.358,low,no,yes,preterite,1st,singular,desenfundé,,desenfundado,,ar,42,diagnostic_2
desentumecer,es,low_regular,1.210,low,no,yes,preterite,1st,singular,desentumecí,,desentumecido,,er,42,diagnostic_2
desfallecer,es,low_regular,2.675,low,no,yes,preterite,1st,singular,desfallecí,,desfallecido,,er,42,diagnostic_2
desobstruir,es,low_regular,1.100,low,no,yes,preterite,1st,singular,desobstruí,,desobstruido,,ir,42,diagnostic_2
empalmar,es,low_regular,2.831,low,no,yes,preterite,1st,singular,empalmé,,empalmado,,ar,42,diagnostic_2
emparentar,es,low_regular,2.764,low,no,yes,preterite,1st,singular,emparenté,,emparentado,,ar,42,diagnostic_2
enardecer,es,low_regular,2.504,low,no,yes,preterite,1st,singular,enardecí,,enardecido,,er,42,diagnostic_2
enrarecer,es,low_regular,2.462,low,no,yes,preterite,1st,singular,enrarecí,,enrarecido,,er,42,diagnostic_2
enternecer,es,low_regular,2.314,low,no,yes,preterite,1st,singular,enternecí,,enternecido,,er,42,diagnostic_2
florear,es,low_regular,2.435,low,no,yes,preterite,1st,singular,floreé,,floreado,,ar,42,diagnostic_2
palmear,es,low_regular,2.233,low,no,yes,preterite,1st,singular,palmeé,,palmeado,,ar,42,diagnostic_2
posesionar,es,low_regular,2.416,low,no,yes,preterite,1st,singular,posesioné,,posesionado,,ar,42,diagnostic_2
reabsorber,es,low_regular,2.139,low,no,yes,preterite,1st,singular,reabsorbí,,reabsorbido,,er,42,diagnostic_2
transfundir,es,low_regular,1.360,low,no,yes,preterite,1st,singular,transfundí,,transfundido,,ir,42,diagnostic_2
traslucir,es,low_regular,2.473,low,no,yes,preterite,1st,singular,traslucí,,traslucido,,ir,42,diagnostic_2
travestir,es,low_regular,2.303,low,no,yes,preterite,1st,singular,travestí,,travestido,,ir,42,diagnostic_2
uncir,es,low_regular,1.111,low,no,yes,preterite,1st,singular,uncí,,uncido,,ir,42,diagnostic_2
ungir,es,low_regular,2.819,low,no,yes,preterite,1st,singular,ungí,,ungido,,ir,42,diagnostic_2
zurcir,es,low_regular,2.083,low,no,yes,preterite,1st,singular,zurcí,,zurcido,,ir,42,diagnostic_2
abstraer,es,mid_irregular,3.582,mid,yes,yes,preterite,1st,singular,abstraje,,abstracto,,er,42,diagnostic_2
acontecer,es,mid_irregular,2.970,mid,yes,yes,preterite,1st,singular,acontecí,,acontecido,,er,42,diagnostic_2
ahorcar,es,mid_irregular,3.432,mid,yes,yes,preterite,1st,singular,ahorqué,,ahorcado,,ar,42,diagnostic_2
armonizar,es,mid_irregular,3.201,mid,yes,yes,preterite,1st,singular,armonicé,,armonizado,,ar,42,diagnostic_2
automatizar,es,mid_irregular,3.418,mid,yes,yes,preterite,1st,singular,automaticé,,automatizado,,ar,42,diagnostic_2
clarificar,es,mid_irregular,3.219,mid,yes,yes,preterite,1st,singular,clarifiqué,,clarificado,,ar,42,diagnostic_2
desarraigar,es,mid_irregular,2.877,mid,yes,yes,preterite,1st,singular,desarraigué,,desarraigado,,ar,42,diagnostic_2
halagar,es,mid_irregular,3.438,mid,yes,yes,preterite,1st,singular,halagué,,halagado,,ar,42,diagnostic_2
hostigar,es,mid_irregular,2.998,mid,yes,yes,preterite,1st,singular,hostigué,,hostigado,,ar,42,diagnostic_2
independizar,es,mid_irregular,3.050,mid,yes,yes,preterite,1st,singular,independicé,,independizado,,ar,42,diagnostic_2
nacionalizar,es,mid_irregular,3.218,mid,yes,yes,preterite,1st,singular,nacionalicé,,nacionalizado,,ar,42,diagnostic_2
oficializar,es,mid_irregular,2.874,mid,yes,yes,preterite,1st,singular,oficialicé,,oficializado,,ar,42,diagnostic_2
pacificar,es,mid_irregular,3.625,mid,yes,yes,preterite,1st,singular,pacifiqué,,pacificado,,ar,42,diagnostic_2
politizar,es,mid_irregular,3.162,mid,yes,yes,preterite,1st,singular,politicé,,politizado,,ar,42,diagnostic_2
posponer,es,mid_irregular,3.566,mid,yes,yes,preterite,1st,singular,pospuse,,pospuesto,,er,42,diagnostic_2
recalcar,es,mid_irregular,3.524,mid,yes,yes,preterite,1st,singular,recalqué,,recalcado,,ar,42,diagnostic_2
relanzar,es,mid_irregular,2.936,mid,yes,yes,preterite,1st,singular,relancé,,relanzado,,ar,42,diagnostic_2
relegar,es,mid_irregular,3.324,mid,yes,yes,preterite,1st,singular,relegué,,relegado,,ar,42,diagnostic_2
responsabilizar,es,mid_irregular,3.357,mid,yes,yes,preterite,1st,singular,responsabilicé,,responsabilizado,,ar,42,diagnostic_2
segar,es,mid_irregular,2.915,mid,yes,yes,preterite,1st,singular,segué,,segado,,ar,42,diagnostic_2
sobrecargar,es,mid_irregular,3.541,mid,yes,yes,preterite,1st,singular,sobrecargué,,sobrecargado,,ar,42,diagnostic_2
surcar,es,mid_irregular,3.471,mid,yes,yes,preterite,1st,singular,surqué,,surcado,,ar,42,diagnostic_2
traficar,es,mid_irregular,3.652,mid,yes,yes,preterite,1st,singular,trafiqué,,traficado,,ar,42,diagnostic_2
trancar,es,mid_irregular,3.323,mid,yes,yes,preterite,1st,singular,tranqué,,trancado,,ar,42,diagnostic_2
visualizar,es,mid_irregular,3.716,mid,yes,yes,preterite,1st,singular,visualicé,,visualizado,,ar,42,diagnostic_2
adolecer,es,mid_regular,2.860,mid,no,yes,preterite,1st,singular,adolecí,,adolecido,,er,42,diagnostic_2
aguardar,es,mid_regular,3.620,mid,no,yes,preterite,1st,singular,aguardé,,aguardado,,ar,42,diagnostic_2
apestar,es,mid_regular,3.653,mid,no,yes,preterite,1st,singular,apesté,,apestado,,ar,42,diagnostic_2
corroer,es,mid_regular,2.878,mid,no,yes,preterite,1st,singular,corroí,,corroído,,er,42,diagnostic_2
culminar,es,mid_regular,3.798,mid,no,yes,preterite,1st,singular,culminé,,culminado,,ar,42,diagnostic_2
desacreditar,es,mid_regular,3.487,mid,no,yes,preterite,1st,singular,desacredité,,desacreditado,,ar,42,diagnostic_2
desvanecer,es,mid_regular,3.537,mid,no,yes,preterite,1st,singular,desvanecí,,desvanecido,,er,42,diagnostic_2
disuadir,es,mid_regular,3.157,mid,no,yes,preterite,1st,singular,disuadí,,disuadido,,ir,42,diagnostic_2
emerger,es,mid_regular,3.772,mid,no,yes,preterite,1st,singular,emergí,,emergido,,er,42,diagnostic_2
erigir,es,mid_regular,3.623,mid,no,yes,preterite,1st,singular,erigí,,erigido,,ir,42,diagnostic_2
esclarecer,es,mid_regular,3.427,mid,no,yes,preterite,1st,singular,esclarecí,,esclarecido,,er,42,diagnostic_2
estirar,es,mid_regular,3.767,mid,no,yes,preterite,1st,singular,estiré,,estirado,,ar,42,diagnostic_2
galopar,es,mid_regular,2.866,mid,no,yes,preterite,1st,singular,galopé,,galopado,,ar,42,diagnostic_2
lamer,es,mid_regular,3.631,mid,no,yes,preterite,1st,singular,lamí,,lamido,,er,42,diagnostic_2
perpetrar,es,mid_regular,3.398,mid,no,yes,preterite,1st,singular,perpetré,,perpetrado,,ar,42,diagnostic_2
postrar,es,mid_regular,2.862,mid,no,yes,preterite,1st,singular,postré,,postrado,,ar,42,diagnostic_2
proscribir,es,mid_regular,2.884,mid,no,yes,preterite,1st,singular,proscribí,,proscrito,,ir,42,diagnostic_2
rebatir,es,mid_regular,3.119,mid,no,yes,preterite,1st,singular,rebatí,,rebatido,,ir,42,diagnostic_2
redimir,es,mid_regular,3.004,mid,no,yes,preterite,1st,singular,redimí,,redimido,,ir,42,diagnostic_2
resurgir,es,mid_regular,3.338,mid,no,yes,preterite,1st,singular,resurgí,,resurgido,,ir,42,diagnostic_2
retransmitir,es,mid_regular,3.127,mid,no,yes,preterite,1st,singular,retransmití,,retransmitido,,ir,42,diagnostic_2
roer,es,mid_regular,3.393,mid,no,yes,preterite,1st,singular,roí,,roído,,er,42,diagnostic_2
rugir,es,mid_regular,3.432,mid,no,yes,preterite,1st,singular,rugí,,rugido,,ir,42,diagnostic_2
suplantar,es,mid_regular,3.079,mid,no,yes,preterite,1st,singular,suplanté,,suplantado,,ar,42,diagnostic_2
verter,es,mid_regular,3.766,mid,no,yes,preterite,1st,singular,vertí,,vertido,,er,42,diagnostic_2
