verb,lang,cell_id,zipf,tier,irregular_probed,in_census,probed_tense,probed_person,probed_number,gold_past_1sg,gold_past_1sg_alts,gold_participle,gold_participle_alts,ending,seed,experiment
resistir,es,high_regular,4.360,high,no,yes,preterite,1st,singular,resistí,,resistido,,ir,42,direction_hl50
seguir,es,high_regular,5.870,high,no,yes,preterite,1st,singular,seguí,,seguido,,ir,42,direction_hl50
advenir,es,low_irregular,1.688,low,yes,yes,preterite,1st,singular,advine,,advenido,,ir,42,direction_hl50
atomizar,es,low_irregular,2.386,low,yes,yes,preterite,1st,singular,atomicé,,atomizado,,ar,42,direction_hl50
conculcar,es,low_irregular,2.087,low,yes,yes,preterite,1st,singular,conculqué,,conculcado,,ar,42,direction_hl50
densificar,es,low_irregular,1.369,low,yes,yes,preterite,1st,singular,densifiqué,,densificado,,ar,42,direction_hl50
expurgar,es,low_irregular,1.838,low,yes,yes,preterite,1st,singular,expurgué,,expurgado,,ar,42,direction_hl50
fructificar,es,low_irregular,2.529,low,yes,yes,preterite,1st,singular,fructifiqué,,fructificado,,ar,42,direction_hl50
hidrolizar,es,low_irregular,2.134,low,yes,yes,preterite,1st,singular,hidrolicé,,hidrolizado,,ar,42,direction_hl50
hostilizar,es,low_irregular,2.033,low,yes,yes,preterite,1st,singular,hostilicé,,hostilizado,,ar,42,direction_hl50
impermeabilizar,es,low_irregular,2.029,low,yes,yes,preterite,1st,singular,impermeabilicé,,impermeabilizado,,ar,42,direction_hl50
inmunizar,es,low_irregular,2.351,low,yes,yes,preterite,1st,singular,inmunicé,,inmunizado,,ar,42,direction_hl50
intelectualizar,es,low_irregular,1.161,low,yes,yes,preterite,1st,singular,intelectualicé,,intelectualizado,,ar,42,direction_hl50
relativizar,es,low_irregular,2.689,low,yes,yes,preterite,1st,singular,relativicé,,relativizado,,ar,42,direction_hl50
uniformizar,es,low_irregular,1.580,low,yes,yes,preterite,1st,singular,uniformicé,,uniformizado,,ar,42,direction_hl50
aglomerar,es,low_regular,2.671,low,no,yes,preterite,1st,singular,aglomeré,,aglomerado,,ar,42,direction_hl50
carcomer,es,low_regular,2.770,low,no,yes,preterite,1st,singular,carcomí,,carcomido,,er,42,direction_hl50
descreer,es,low_regular,2.326,low,no,yes,preterite,1st,singular,descreí,,descreído,,er,42,direction_hl50
desfallecer,es,low_regular,2.675,low,no,yes,preterite,1st,singular,desfallecí,,desfallecido,,er,42,direction_hl50
empalmar,es,low_regular,2.831,low,no,yes,preterite,1st,singular,empalmé,,empalmado,,ar,42,direction_hl50
enrarecer,es,low_regular,2.462,low,no,yes,preterite,1st,singular,enrarecí,,enrarecido,,er,42,direction_hl50
enternecer,es,low_regular,2.314,low,no,yes,preterite,1st,singular,enternecí,,enternecido,,er,42,direction_hl50
florear,es,low_regular,2.435,low,no,yes,preterite,1st,singular,floreé,,floreado,,ar,42,direction_hl50
travestir,es,low_regular,2.303,low,no,yes,preterite,1st,singular,travestí,,travestido,,ir,42,direction_hl50
uncir,es,low_regular,1.111,low,no,yes,preterite,1st,singular,uncí,,uncido,,ir,42,direction_hl50
ungir,es,low_regular,2.819,low,no,yes,preterite,1st,singular,ungí,,ungido,,ir,42,direction_hl50
zurcir,es,low_regular,2.083,low,no,yes,preterite,1st,singular,zurcí,,zurcido,,ir,42,direction_hl50
