verb,lang,cell_id,zipf,tier,irregular_probed,in_census,probed_tense,probed_person,probed_number,gold_past_1sg,gold_past_1sg_alts,gold_participle,gold_participle_alts,ending,seed,experiment
perdonar,es,high_regular,4.472,high,no,yes,preterite,1st,singular,perdoné,,perdonado,,ar,42,diagnostic_1
poseer,es,high_regular,4.729,high,no,yes,preterite,1st,singular,poseí,,poseso,,er,42,diagnostic_1
remitir,es,high_regular,3.895,high,no,yes,preterite,1st,singular,remití,,remitido,,ir,42,diagnostic_1
remover,es,high_regular,3.896,high,no,yes,preterite,1st,singular,removí,,removido,,er,42,diagnostic_1
resistir,es,high_regular,4.360,high,no,yes,preterite,1st,singular,resistí,,resistido,,ir,42,diagnostic_1
retar,es,high_regular,4.426,high,no,yes,preterite,1st,singular,reté,,retado,,ar,42,diagnostic_1
seguir,es,high_regular,5.870,high,no,yes,preterite,1st,singular,seguí,,seguido,,ir,42,diagnostic_1
sobrepasar,es,high_regular,3.852,high,no,yes,preterite,1st,singular,sobrepasé,,sobrepasado,,ar,42,diagnostic_1
tarar,es,high_regular,3.857,high,no,yes,preterite,1st,singular,taré,,tarado,,ar,42,diagnostic_1
unir,es,high_regular,6.008,high,no,yes,preterite,1st,singular,uní,,unido,,ir,42,diagnostic_1
advenir,es,low_irregular,1.688,low,yes,yes,preterite,1st,singular,advine,,advenido,,ir,42,diagnostic_1
atomizar,es,low_irregular,2.386,low,yes,yes,preterite,1st,singular,atomicé,,atomizado,,ar,42,diagnostic_1
avenir,es,low_irregular,2.540,low,yes,yes,preterite,1st,singular,avine,,avenido,,ir,42,diagnostic_1
conculcar,es,low_irregular,2.087,low,yes,yes,preterite,1st,singular,conculqué,,conculcado,,ar,42,diagnostic_1
densificar,es,low_irregular,1.369,low,yes,yes,preterite,1st,singular,densifiqué,,densificado,,ar,42,diagnostic_1
desconvocar,es,low_irregular,1.528,low,yes,yes,preterite,1st,singular,desconvoqué,,desconvocado,,ar,42,diagnostic_1
desnucar,es,low_irregular,1.726,low,yes,yes,preterite,1st,singular,desnuqué,,desnucado,,ar,42,diagnostic_1
detraer,es,low_irregular,1.866,low,yes,yes,preterite,1st,singular,detraje,,detraído,,er,42,diagnostic_1
excomulgar,es,low_irregular,2.661,low,yes,yes,preterite,1st,singular,excomulgué,,excomulgado,,ar,42,diagnostic_1
expurgar,es,low_irregular,1.838,low,yes,yes,preterite,1st,singular,expurgué,,expurgado,,ar,42,diagnostic_1
fructificar,es,low_irregular,2.529,low,yes,yes,preterite,1st,singular,fructifiqué,,fructificado,,ar,42,diagnostic_1
hidrolizar,es,low_irregular,2.134,low,yes,yes,preterite,1st,singular,hidrolicé,,hidrolizado,,ar,42,diagnostic_1
hostilizar,es,low_irregular,2.033,low,yes,yes,preterite,1st,singular,hostilicé,,hostilizado,,ar,42,diagnostic_1
impermeabilizar,es,low_irregular,2.029,low,yes,yes,preterite,1st,singular,impermeabilicé,,impermeabilizado,,ar,42,diagnostic_1
inmunizar,es,low_irregular,2.351,low,yes,yes,preterite,1st,singular,inmunicé,,inmunizado,,ar,42,diagnostic_1
intelectualizar,es,low_irregular,1.161,low,yes,yes,preterite,1st,singular,intelectualicé,,intelectualizado,,ar,42,diagnostic_1
pasteurizar,es,low_irregular,2.004,low,yes,yes,preterite,1st,singular,pasteuricé,,pasteurizado,,ar,42,diagnostic_1
pluralizar,es,low_irregular,1.497,low,yes,yes,preterite,1st,singular,pluralicé,,pluralizado,,ar,42,diagnostic_1
reciprocar,es,low_irregular,2.505,low,yes,yes,preterite,1st,singular,reciproqué,,reciprocado,,ar,42,diagnostic_1
relativizar,es,low_irregular,2.689,low,yes,yes,preterite,1st,singular,relativicé,,relativizado,,ar,42,diagnostic_1
remolcar,es,low_irregular,2.794,low,yes,yes,preterite,1st,singular,remolqué,,remolcado,,ar,42,diagnostic_1
rubricar,es,low_irregular,2.616,low,yes,yes,preterite,1st,singular,rubriqué,,rubricado,,ar,42,diagnostic_1
tecnificar,es,low_irregular,2.130,low,yes,yes,preterite,1st,singular,tecnifiqué,,tecnificado,,ar,42,diagnostic_1
uniformizar,es,low_irregular,1.580,low,yes,yes,preterite,1st,singular,uniformicé,,uniformizado,,ar,42,diagnostic_1
urbanizar,es,low_irregular,2.810,low,yes,yes,preterite,1st,singular,urbanicé,,urbanizado,,ar,42,diagnostic_1
aglomerar,es,low_regular,2.671,low,no,yes,preterite,1st,singular,aglomeré,,aglomerado,,ar,42,diagnostic_1
apoquinar,es,low_regular,1.161,low,no,yes,preterite,1st,singular,apoquiné,,apoquinado,,ar,42,diagnostic_1
ausentar,es,low_regular,2.825,low,no,yes,preterite,1st,singular,ausenté,,ausentado,,ar,42,diagnostic_1
carcomer,es,low_regular,2.770,low,no,yes,preterite,1st,singular,carcomí,,carcomido,,er,42,diagnostic_1
derruir,es,low_regular,2.362,low,no,yes,preterite,1st,singular,derruí,,derruido,,ir,42,diagnostic_1
descreer,es,low_regular,2.326,low,no,yes,preterite,1st,singular,descreí,,descreído,,er,42,diagnostic_1
desenfundar,es,low_regular,2.358,low,no,yes,preterite,1st,singular,desenfundé,,desenfundado,,ar,42,diagnostic_1
desentumecer,es,low_regular,1.210,low,no,yes,preterite,1st,singular,desentumecí,,desentumecido,,er,42,diagnostic_1
desfallecer,es,low_regular,2.675,low,no,yes,preterite,1st,singular,desfallecí,,desfallecido,,er,42,diagnostic_1
desobstruir,es,low_regular,1.100,low,no,yes,preterite,1st,singular,desobstruí,,desobstruido,,ir,42,diagnostic_1
empalmar,es,low_regular,2.831,low,no,yes,preterite,1st,singular,empalmé,,empalmado,,ar,42,diagnostic_1
emparentar,es,low_regular,2.764,low,no,yes,preterite,1st,singular,emparenté,,emparentado,,ar,42,diagnostic_1
enardecer,es,low_regular,2.504,low,no,yes,preterite,1st,singular,enardecí,,enardecido,,er,42,diagnostic_1
enrarecer,es,low_regular,2.462,low,no,yes,preterite,1st,singular,enrarecí,,enrarecido,,er,42,diagnostic_1
enternecer,es,low_regular,2.314,low,no,yes,preterite,1st,singular,enternecí,,enternecido,,er,42,diagnostic_1
florear,es,low_regular,2.435,low,no,yes,preterite,1st,singular,floreé,,floreado,,ar,42,diagnostic_1
palmear,es,low_regular,2.233,low,no,yes,preterite,1st,singular,palmeé,,palmeado,,ar,42,diagnostic_1
posesionar,es,low_regular,2.416,low,no,yes,preterite,1st,singular,posesioné,,posesionado,,ar,42,diagnostic_1
reabsorber,es,low_regular,2.139,low,no,yes,preterite,1st,singular,reabsorbí,,reabsorbido,,er,42,diagnostic_1
transfundir,es,low_regular,1.360,low,no,yes,preterite,1st,singular,transfundí,,transfundido,,ir,42,diagnostic_1
traslucir,es,low_regular,2.473,low,no,yes,preterite,1st,singular,traslucí,,traslucido,,ir,42,diagnostic_1
travestir,es,low_regular,2.303,low,no,yes,preterite,1st,singular,travestí,,travestido,,ir,42,diagnostic_1
uncir,es,low_regular,1.111,low,no,yes,preterite,1st,singular,uncí,,uncido,,ir,42,diagnostic_1
ungir,es,low_regular,2.819,low,no,yes,preterite,1st,singular,ungí,,ungido,,ir,42,diagnostic_1
zurcir,es,low_regular,2.083,low,no,yes,preterite,1st,singular,zurcí,,zurcido,,ir,42,diagnostic_1
