verb,lang,cell_id,zipf,tier,irregular_probed,in_census,probed_tense,probed_person,probed_number,gold_past_1sg,gold_past_1sg_alts,gold_participle,gold_participle_alts,ending,seed,experiment
weep,en,mid_irregular,3.741,mid,yes,yes,past,1st,singular,wept,,wept,,,42,diagnostic_1
withhold,en,mid_irregular,3.639,mid,yes,yes,past,1st,singular,withheld,,withheld,,,42,diagnostic_1
declassify,en,mid_regular,3.005,mid,no,yes,past,1st,singular,declassified,,declassified,,,42,diagnostic_1
eject,en,mid_regular,3.579,mid,no,yes,past,1st,singular,ejected,,ejected,,,42,diagnostic_1
misguide,en,mid_regular,3.432,mid,no,yes,past,1st,singular,misguided,,misguided,,,42,diagnostic_1
overestimate,en,mid_regular,3.195,mid,no,yes,past,1st,singular,overestimated,,overestimated,,,42,diagnostic_1
overreact,en,mid_regular,3.393,mid,no,yes,past,1st,singular,overreacted,,overreacted,,,42,diagnostic_1
pantomime,en,mid_regular,3.072,mid,no,yes,past,1st,singular,pantomimed,,pantomimed,,,42,diagnostic_1
pivot,en,mid_regular,3.638,mid,no,yes,past,1st,singular,pivoted,,pivoted,,,42,diagnostic_1
resonate,en,mid_regular,3.603,mid,no,yes,past,1st,singular,resonated,,resonated,,,42,diagnostic_1
scrape,en,mid_regular,3.842,mid,no,yes,past,1st,singular,scraped,,scraped,,,42,diagnostic_1
thieve,en,mid_regular,3.867,mid,no,yes,past,1st,singular,thieved,,thieved,,,42,diagnostic_1
almorzar,es,high_irregular,4.320,high,yes,yes,preterite,1st,singular,almorcé,,almorzado,,ar,42,diagnostic_1
autorizar,es,high_irregular,4.275,high,yes,yes,preterite,1st,singular,autoricé,,autorizado,,ar,42,diagnostic_1
calzar,es,high_irregular,3.930,high,yes,yes,preterite,1st,singular,calcé,,calzado,,ar,42,diagnostic_1
cargar,es,high_irregular,5.393,high,yes,yes,preterite,1st,singular,cargué,,cargado,,ar,42,diagnostic_1
chocar,es,high_irregular,4.108,high,yes,yes,preterite,1st,singular,choqué,,chocado,,ar,42,diagnostic_1
especificar,es,high_irregular,4.143,high,yes,yes,preterite,1st,singular,especifiqué,,especificado,,ar,42,diagnostic_1
estar,es,high_irregular,6.711,high,yes,yes,preterite,1st,singular,estuve,,estado,,ar,42,diagnostic_1
exponer,es,high_irregular,4.614,high,yes,yes,preterite,1st,singular,expuse,,expuesto,,er,42,diagnostic_1
gozar,es,high_irregular,4.298,high,yes,yes,preterite,1st,singular,gocé,,gozado,,ar,42,diagnostic_1
rezar,es,high_irregular,4.349,high,yes,yes,preterite,1st,singular,recé,,rezado,,ar,42,diagnostic_1
aburrir,es,high_regular,4.356,high,no,yes,preterite,1st,singular,aburrí,,aburrido,,ir,42,diagnostic_1
acceder,es,high_regular,4.650,high,no,yes,preterite,1st,singular,accedí,,accedido,,er,42,diagnostic_1
atar,es,high_regular,4.151,high,no,yes,preterite,1st,singular,até,,atado,,ar,42,diagnostic_1
conceder,es,high_regular,4.363,high,no,yes,preterite,1st,singular,concedí,,concedido,,er,42,diagnostic_1
durar,es,high_regular,5.173,high,no,yes,preterite,1st,singular,duré,,durado,,ar,42,diagnostic_1
herir,es,high_regular,4.470,high,no,yes,preterite,1st,singular,herí,,herido,,ir,42,diagnostic_1
perdonar,es,high_regular,4.472,high,no,yes,preterite,1st,singular,perdoné,,perdonado,,ar,42,diagnostic_1
remitir,es,high_regular,3.895,high,no,yes,preterite,1st,singular,remití,,remitido,,ir,42,diagnostic_1
remover,es,high_regular,3.896,high,no,yes,preterite,1st,singular,removí,,removido,,er,42,diagnostic_1
sobrepasar,es,high_regular,3.852,high,no,yes,preterite,1st,singular,sobrepasé,,sobrepasado,,ar,42,diagnostic_1
atosigar,es,low_irregular,1.991,low,yes,yes,preterite,1st,singular,atosigué,,atosigado,,ar,42,diagnostic_1
avenir,es,low_irregular,2.540,low,yes,yes,preterite,1st,singular,avine,,avenido,,ir,42,diagnostic_1
coproducir,es,low_irregular,2.104,low,yes,yes,preterite,1st,singular,coproduje,,coproducido,,ir,42,diagnostic_1
descolonizar,es,low_irregular,1.910,low,yes,yes,preterite,1st,singular,descolonicé,,descolonizado,,ar,42,diagnostic_1
economizar,es,low_irregular,2.671,low,yes,yes,preterite,1st,singular,economicé,,economizado,,ar,42,diagnostic_1
empalagar,es,low_irregular,2.119,low,yes,yes,preterite,1st,singular,empalagué,,empalagado,,ar,42,diagnostic_1
moralizar,es,low_irregular,2.112,low,yes,yes,preterite,1st,singular,moralicé,,moralizado,,ar,42,diagnostic_1
retraer,es,low_irregular,2.827,low,yes,yes,preterite,1st,singular,retraje,,retraído,,er,42,diagnostic_1
señalizar,es,low_irregular,2.707,low,yes,yes,preterite,1st,singular,señalicé,,señalizado,,ar,42,diagnostic_1
trasponer,es,low_irregular,2.191,low,yes,yes,preterite,1st,singular,traspuse,,traspuesto,,er,42,diagnostic_1
aclimatar,es,low_regular,2.270,low,no,yes,preterite,1st,singular,aclimaté,,aclimatado,,ar,42,diagnostic_1
amonestar,es,low_regular,2.853,low,no,yes,preterite,1st,singular,amonesté,,amonestado,,ar,42,diagnostic_1
cañonear,es,low_regular,2.193,low,no,yes,preterite,1st,singular,cañoneé,,cañoneado,,ar,42,diagnostic_1
descongestionar,es,low_regular,2.494,low,no,yes,preterite,1st,singular,descongestioné,,descongestionado,,ar,42,diagnostic_1
desfavorecer,es,low_regular,2.264,low,no,yes,preterite,1st,singular,desfavorecí,,desfavorecido,,er,42,diagnostic_1
fenecer,es,low_regular,2.382,low,no,yes,preterite,1st,singular,fenecí,,fenecido,,er,42,diagnostic_1
ocluir,es,low_regular,1.781,low,no,yes,preterite,1st,singular,ocluí,,ocluido,,ir,42,diagnostic_1
rebanar,es,low_regular,2.468,low,no,yes,preterite,1st,singular,rebané,,rebanado,,ar,42,diagnostic_1
reemprender,es,low_regular,1.986,low,no,yes,preterite,1st,singular,reemprendí,,reemprendido,,er,42,diagnostic_1
ungir,es,low_regular,2.819,low,no,yes,preterite,1st,singular,ungí,,ungido,,ir,42,diagnostic_1
cabalgar,es,mid_irregular,3.379,mid,yes,yes,preterite,1st,singular,cabalgué,,cabalgado,,ar,42,diagnostic_1
contraatacar,es,mid_irregular,3.096,mid,yes,yes,preterite,1st,singular,contraataqué,,contraatacado,,ar,42,diagnostic_1
desahogar,es,mid_irregular,3.305,mid,yes,yes,preterite,1st,singular,desahogué,,desahogado,,ar,42,diagnostic_1
esterilizar,es,mid_irregular,3.058,mid,yes,yes,preterite,1st,singular,esterilicé,,esterilizado,,ar,42,diagnostic_1
indagar,es,mid_irregular,3.623,mid,yes,yes,preterite,1st,singular,indagué,,indagado,,ar,42,diagnostic_1
industrializar,es,mid_irregular,2.867,mid,yes,yes,preterite,1st,singular,industrialicé,,industrializado,,ar,42,diagnostic_1
madrugar,es,mid_irregular,3.257,mid,yes,yes,preterite,1st,singular,madrugué,,madrugado,,ar,42,diagnostic_1
menguar,es,mid_irregular,2.998,mid,yes,yes,preterite,1st,singular,mengüé,,menguado,,ar,42,diagnostic_1
sesgar,es,mid_irregular,3.599,mid,yes,yes,preterite,1st,singular,sesgué,,sesgado,,ar,42,diagnostic_1
sintonizar,es,mid_irregular,3.244,mid,yes,yes,preterite,1st,singular,sintonicé,,sintonizado,,ar,42,diagnostic_1
adolecer,es,mid_regular,2.860,mid,no,yes,preterite,1st,singular,adolecí,,adolecido,,er,42,diagnostic_1
discrepar,es,mid_regular,3.465,mid,no,yes,preterite,1st,singular,discrepé,,discrepado,,ar,42,diagnostic_1
disuadir,es,mid_regular,3.157,mid,no,yes,preterite,1st,singular,disuadí,,disuadido,,ir,42,diagnostic_1
emerger,es,mid_regular,3.772,mid,no,yes,preterite,1st,singular,emergí,,emergido,,er,42,diagnostic_1
erigir,es,mid_regular,3.623,mid,no,yes,preterite,1st,singular,erigí,,erigido,,ir,42,diagnostic_1
homenajear,es,mid_regular,3.467,mid,no,yes,preterite,1st,singular,homenajeé,,homenajeado,,ar,42,diagnostic_1
lamer,es,mid_regular,3.631,mid,no,yes,preterite,1st,singular,lamí,,lamido,,er,42,diagnostic_1
ondear,es,mid_regular,3.096,mid,no,yes,preterite,1st,singular,ondeé,,ondeado,,ar,42,diagnostic_1
resurgir,es,mid_regular,3.338,mid,no,yes,preterite,1st,singular,resurgí,,resurgido,,ir,42,diagnostic_1
suplantar,es,mid_regular,3.079,mid,no,yes,preterite,1st,singular,suplanté,,suplantado,,ar,42,diagnostic_1
