benchmark,lang,verb,tense,person,number,expected_form,cefr_level,zipf,tier,irregular
spanish_basic_grid,es,hablar,preterite,3rd,plural,hablaron,A1,5.905,common,no
spanish_basic_grid,es,hablar,future,1st,singular,hablaré,A1,5.905,common,no
spanish_basic_grid,es,hablar,future,3rd,singular,hablará,A1,5.905,common,no
spanish_basic_grid,es,hablar,future,2nd,plural,hablaréis,A1,5.905,common,no
spanish_basic_grid,es,hablar,imperfect,1st,plural,hablábamos,A1,5.905,common,no
spanish_basic_grid,es,hablar,conditional,3rd,singular,hablaría,A1,5.905,common,no
spanish_basic_grid,es,escribir,present,1st,singular,escribo,A1,5.451,common,no
spanish_basic_grid,es,escribir,present,2nd,singular,escribes,A1,5.451,common,no
spanish_basic_grid,es,escribir,present,3rd,plural,escriben,A1,5.451,common,no
spanish_basic_grid,es,escribir,preterite,1st,plural,escribimos,A1,5.451,common,no
spanish_basic_grid,es,escribir,preterite,3rd,plural,escribieron,A1,5.451,common,no
spanish_basic_grid,es,escribir,future,1st,singular,escribiré,A1,5.451,common,no
spanish_basic_grid,es,escribir,future,3rd,singular,escribirá,A1,5.451,common,no
spanish_basic_grid,es,escribir,future,2nd,plural,escribiréis,A1,5.451,common,no
spanish_basic_grid,es,escribir,imperfect,1st,plural,escribíamos,A1,5.451,common,no
spanish_basic_grid,es,escribir,conditional,3rd,singular,escribiría,A1,5.451,common,no
spanish_basic_grid,es,correr,present,1st,singular,corro,A1,5.062,common,no
spanish_basic_grid,es,correr,present,2nd,singular,corres,A1,5.062,common,no
spanish_basic_grid,es,correr,present,3rd,plural,corren,A1,5.062,common,no
spanish_basic_grid,es,correr,preterite,1st,plural,corrimos,A1,5.062,common,no
spanish_basic_grid,es,correr,preterite,3rd,plural,corrieron,A1,5.062,common,no
spanish_basic_grid,es,correr,future,1st,singular,correré,A1,5.062,common,no
spanish_basic_grid,es,correr,future,3rd,singular,correrá,A1,5.062,common,no
spanish_basic_grid,es,correr,future,2nd,plural,correréis,A1,5.062,common,no
spanish_basic_grid,es,correr,imperfect,1st,plural,corríamos,A1,5.062,common,no
spanish_basic_grid,es,correr,conditional,3rd,singular,correría,A1,5.062,common,no
spanish_challenging,es,pedir,present,1st,singular,pido,B1,5.499,common,yes
spanish_challenging,es,dormir,present,1st,singular,duermo,B1,5.12,common,yes
spanish_challenging,es,decir,preterite,1st,singular,dije,B1,6.302,common,yes
spanish_challenging,es,tener,preterite,3rd,plural,tuvieron,B1,6.637,common,yes
spanish_challenging,es,conducir,preterite,3rd,plural,condujeron,B2,4.719,mid,yes
spanish_challenging,es,poner,conditional,1st,singular,pondría,B2,5.805,common,yes
spanish_challenging,es,venir,conditional,1st,singular,vendría,B2,5.625,common,yes
spanish_challenging,es,llegar,preterite,1st,singular,llegué,B1,5.771,common,yes
spanish_grammar_probe,es,probe_subj_verb,preterite,1st,plural,comimos,,0.0,rare,no
spanish_grammar_probe,es,probe_det_noun,present,3rd,singular,come,,0.0,rare,no
spanish_grammar_probe,es,probe_prep,preterite,1st,singular,fui,,0.0,rare,no
spanish_grammar_probe,es,probe_correct,present,2nd,singular,hablas,,0.0,rare,no
spanish_niche,es,henchir,preterite,1st,singular,henchí,C1,2.864,rare,no
spanish_niche,es,argüir,preterite,1st,singular,argüí,C1,2.949,rare,no
spanish_niche,es,atestiguar,preterite,1st,singular,atestigüé,C1,3.399,rare,yes
spanish_niche,es,menguar,present,1st,singular,menguo,C1,2.998,rare,no
spanish_niche,es,empalagar,present,1st,singular,empalago,C1,2.119,rare,no
spanish_niche,es,blandir,preterite,1st,singular,blandí,C1,3.656,rare,yes
spanish_niche,es,proferir,present,1st,singular,profiero,C1,2.741,rare,yes
